Date,Part_Number,Quantity,Unit_Price,Order_Amount,State
2023-05-30,A2501Z,855,367.89,314545.95,New Jersey
2023-09-21,B4553Y,509,370.95,188813.55,Massachusetts
2024-11-29,D2275Z,556,412.8,229516.8,New Hampshire
2023-03-06,A2431Y,88,478.32,42092.16,Indiana
2023-06-17,A6615Z,270,272.44,73558.8,Connecticut
2023-02-20,A2431Y,342,373.75,127822.5,Rhode Island
2024-07-11,E8474Y,992,84.88,84200.96,Vermont
2024-07-24,C8665X,753,431.3,324768.9,New Hampshire
2023-02-22,D2429Z,418,154.38,64530.84,Minnesota
2023-01-18,D6304Y,801,142.96,114510.96,Vermont
2024-02-20,A7903Z,461,311.23,143477.03,Hawaii
2023-11-15,D1105Z,196,202.02,39595.92,Nevada
2024-06-14,A6514X,490,292.6,143374.0,New Mexico
2024-04-26,D1774X,622,470.91,292906.02,Florida
2024-06-02,B1605Z,629,353.2,222162.8,Alabama
2023-12-27,A8547Z,359,202.8,72805.2,Montana
2023-09-13,C5664Y,37,288.03,10657.11,New Mexico
2023-05-20,A8719Y,319,356.4,113691.6,Tennessee
2023-01-22,C9648X,977,275.14,268811.78,Indiana
2024-03-20,A6184Y,808,204.7,165397.6,North Dakota
2023-01-03,D2429Z,949,184.23,174834.27,California
2023-10-31,E1601Z,92,223.41,20553.72,Minnesota
2024-05-27,C4514Z,203,333.47,67694.41,Oklahoma
2023-10-23,C3141X,923,234.55,216489.65,Massachusetts
2023-12-29,A7903Z,381,370.27,141072.87,Virginia
2023-06-25,B2539Y,515,391.15,201442.25,West Virginia
2024-10-11,E1490Y,71,188.99,13418.29,New Jersey
2023-05-30,A8719Y,601,479.45,288149.45,Illinois
2023-02-17,D9520Z,380,197.84,75179.2,Arkansas
2024-01-25,D1757X,984,175.27,172465.68,North Carolina
2023-02-19,E3368Y,830,89.83,74558.9,West Virginia
2023-04-01,C1619Y,678,355.18,240812.04,West Virginia
2024-05-06,B2145Z,19,497.5,9452.5,Mississippi
2024-08-09,D2275Z,620,408.06,252997.2,Kansas
2023-12-05,A6615Z,376,273.48,102828.48,Illinois
2024-10-05,E6371Z,920,47.89,44058.8,Tennessee
2024-08-28,D8211X,159,339.73,54017.07,Minnesota
2023-01-12,D4167X,904,92.44,83565.76,Connecticut
2023-01-02,A6615Z,598,151.1,90357.8,Kansas
2023-02-02,A9602Y,627,273.98,171785.46,Arkansas
2023-06-22,D1757X,16,55.14,882.24,Arkansas
2024-01-28,A8262Y,317,404.6,128258.2,California
2024-02-28,C9277Y,572,266.36,152357.92,Delaware
2024-10-20,E4711Y,136,285.78,38866.08,Illinois
2024-01-15,A6151X,520,22.03,11455.6,Arkansas
2024-04-03,D4747X,712,285.18,203048.16,Maine
2023-10-12,B1987Z,465,249.88,116194.2,Hawaii
2024-01-23,E8474Y,391,267.51,104596.41,Iowa
2024-10-19,D6404X,564,265.95,149995.8,Oregon
2024-01-22,B4684Z,394,488.93,192638.42,Wyoming
2024-09-14,E1490Y,334,414.74,138523.16,Idaho
2024-04-13,B1505Z,607,122.66,74454.62,New Jersey
2023-12-07,A2690Z,159,67.08,10665.72,Tennessee
2023-08-30,D6146Y,605,307.66,186134.3,New York
2023-03-07,E2559X,355,282.42,100259.1,Utah
2024-12-30,A6184Y,731,35.21,25738.51,Nebraska
2024-11-28,B1877Z,645,28.28,18240.6,South Carolina
2023-06-07,B1877Z,581,88.5,51418.5,Mississippi
2023-11-27,D9236Y,991,218.15,216186.65,Utah
2023-03-27,D9202Z,120,302.19,36262.8,Missouri
2024-06-21,C5387X,674,81.81,55139.94,Oklahoma
2023-03-09,D2275Z,218,44.4,9679.2,New Mexico
2023-12-04,D2093Y,955,143.1,136660.5,Oregon
2024-06-22,E5635Z,590,442.69,261187.1,Missouri
2023-03-26,D6404X,413,190.58,78709.54,Oklahoma
2023-02-02,B7052Z,702,161.04,113050.08,North Carolina
2024-05-09,A5665Z,339,91.82,31126.98,Alabama
2024-02-24,D6146Y,170,105.11,17868.7,Virginia
2023-04-16,B7052Z,161,290.74,46809.14,Ohio
2024-03-16,B1877Z,632,10.28,6496.96,Mississippi
2024-07-21,D4267Y,668,245.66,164100.88,Minnesota
2024-03-03,D1105Z,16,50.54,808.64,Kentucky
2024-04-30,E2559X,531,56.33,29911.23,South Dakota
2023-11-06,A9602Y,425,91.15,38738.75,Connecticut
2024-09-20,D4455Z,651,65.41,42581.91,Texas
2023-09-24,B2539Y,159,255.98,40700.82,Vermont
2023-11-15,C5387X,497,361.18,179506.46,New Jersey
2023-04-18,D2477Z,928,78.68,73015.04,Nevada
2023-03-19,E3368Y,147,292.41,42984.27,New York
2024-12-02,A2431Y,383,273.77,104853.91,Tennessee
2024-12-11,B7052Z,997,435.87,434562.39,Delaware
2024-08-15,E8719Z,667,229.92,153356.64,Iowa
2023-04-29,A5665Z,375,359.09,134658.75,Tennessee
2023-04-24,E5635Z,155,30.16,4674.8,North Dakota
2023-03-08,A7547Y,52,165.3,8595.6,Virginia
2024-03-23,C8665X,908,348.45,316392.6,Ohio
2024-03-05,B1877Z,2,169.0,338.0,New York
2023-05-22,D7774Z,900,273.84,246456.0,Nebraska
2024-12-06,B4760Z,357,381.04,136031.28,North Dakota
2023-06-25,B4684Z,560,299.26,167585.6,South Carolina
2024-01-26,D2093Y,933,360.74,336570.42,Idaho
2024-09-24,A6151X,413,203.57,84074.41,Nebraska
2024-02-08,A2690Z,92,307.8,28317.6,Iowa
2023-01-11,A9602Y,514,497.45,255689.3,Indiana
2023-07-07,D1774X,479,63.14,30244.06,New Mexico
2023-10-02,D9202Z,379,24.55,9304.45,Massachusetts
2023-12-19,D2429Z,124,22.43,2781.32,Georgia
2024-01-22,D9202Z,952,390.54,371794.08,Rhode Island
2024-08-14,C5664Y,564,334.54,188680.56,Michigan
2023-07-03,B7052Z,105,396.23,41604.15,Vermont
2023-11-29,E1490Y,841,413.11,347425.51,South Carolina
2023-01-06,B1987Z,376,44.97,16908.72,Tennessee
2024-10-19,B4553Y,396,187.76,74352.96,Idaho
2023-12-02,B4553Y,829,375.17,311015.93,Illinois
2024-05-16,D4167X,595,345.0,205275.0,Idaho
2024-01-18,D2093Y,970,133.11,129116.7,Maryland
2024-10-28,A4168Z,105,160.97,16901.85,New Jersey
2023-08-28,A7547Y,697,220.27,153528.19,Pennsylvania
2023-03-14,D9202Z,332,57.65,19139.8,Arizona
2023-09-20,C8665X,957,11.56,11062.92,Wyoming
2023-07-10,B4553Y,955,370.07,353416.85,Kansas
2023-03-14,E8474Y,966,305.65,295257.9,Nebraska
2023-04-08,E2559X,982,16.89,16585.98,Iowa
2024-11-24,C8407Y,628,62.03,38954.84,Massachusetts
2023-10-02,A8547Z,128,364.67,46677.76,Arizona
2024-04-22,A8500Z,795,386.24,307060.8,Pennsylvania
2024-11-27,E8474Y,446,275.51,122877.46,Minnesota
